INFO:root:
Started
INFO:root:Batch 419, Batch Loss 0.127454

INFO:root:Batch 420, Batch Loss 0.645485

INFO:root:Batch 421, Batch Loss 0.168229

INFO:root:Batch 422, Batch Loss 1.027491

INFO:root:Batch 423, Batch Loss 0.105093

INFO:root:Batch 424, Batch Loss 2.939047

INFO:root:Batch 425, Batch Loss 0.000000

INFO:root:Batch 426, Batch Loss 0.283414

INFO:root:Batch 427, Batch Loss 0.288129

INFO:root:Batch 428, Batch Loss 1.475564

INFO:root:Batch 429, Batch Loss 0.000000

INFO:root:Batch 430, Batch Loss 0.120158

INFO:root:Batch 431, Batch Loss 0.987972

INFO:root:Batch 432, Batch Loss 0.000000

INFO:root:Batch 433, Batch Loss 1.102770

INFO:root:Batch 434, Batch Loss 0.696695

INFO:root:Batch 435, Batch Loss 0.098146

INFO:root:Batch 436, Batch Loss 0.500420

INFO:root:Batch 437, Batch Loss 0.776126

INFO:root:Batch 438, Batch Loss 0.558240

INFO:root:Batch 439, Batch Loss 0.917236

INFO:root:Batch 440, Batch Loss 0.137144

INFO:root:Batch 441, Batch Loss 0.528835

INFO:root:Batch 442, Batch Loss 0.915066

INFO:root:Batch 443, Batch Loss 1.054681

INFO:root:Batch 444, Batch Loss 0.463284

INFO:root:Batch 445, Batch Loss 0.328100

INFO:root:Batch 446, Batch Loss 1.237725

INFO:root:Batch 447, Batch Loss 0.570911

INFO:root:Batch 448, Batch Loss 0.026836

INFO:root:Batch 449, Batch Loss 0.597764

INFO:root:Batch 450, Batch Loss 0.416879

INFO:root:Batch 451, Batch Loss 0.581952

INFO:root:Batch 452, Batch Loss 2.302272

INFO:root:Batch 453, Batch Loss 0.108132

INFO:root:Batch 454, Batch Loss 1.220669

INFO:root:Batch 455, Batch Loss 0.141764

INFO:root:Batch 456, Batch Loss 1.999228

INFO:root:Batch 457, Batch Loss 0.283418

INFO:root:Batch 458, Batch Loss 0.000000

INFO:root:Batch 459, Batch Loss 0.215206

INFO:root:Batch 460, Batch Loss 0.241129

INFO:root:Batch 461, Batch Loss 0.047995

INFO:root:Batch 462, Batch Loss 0.854059

INFO:root:Batch 463, Batch Loss 0.593196

INFO:root:Batch 464, Batch Loss 0.172573

INFO:root:Batch 465, Batch Loss 0.362355

INFO:root:Batch 466, Batch Loss 0.014632

INFO:root:Batch 467, Batch Loss 1.607765

INFO:root:Batch 468, Batch Loss 0.215814

INFO:root:Batch 469, Batch Loss 0.299813

INFO:root:Batch 470, Batch Loss 1.171341

INFO:root:Batch 471, Batch Loss 1.636322

INFO:root:Batch 472, Batch Loss 0.494948

INFO:root:Batch 473, Batch Loss 0.736647

INFO:root:Batch 474, Batch Loss 0.392749

INFO:root:Batch 475, Batch Loss 1.147752

INFO:root:Batch 476, Batch Loss 0.285245

INFO:root:Batch 477, Batch Loss 1.248679

INFO:root:Batch 478, Batch Loss 0.561767

INFO:root:Batch 479, Batch Loss 0.142347

INFO:root:Batch 480, Batch Loss 0.626528

INFO:root:Batch 481, Batch Loss 2.054144

INFO:root:Batch 482, Batch Loss 0.241074

INFO:root:Batch 483, Batch Loss 0.443320

INFO:root:Batch 484, Batch Loss 0.071357

INFO:root:Batch 485, Batch Loss 2.002793

INFO:root:Batch 486, Batch Loss 0.030792

INFO:root:Batch 487, Batch Loss 0.840472

INFO:root:Batch 488, Batch Loss 1.032104

INFO:root:Batch 489, Batch Loss 1.058670

INFO:root:Batch 490, Batch Loss 0.814810

INFO:root:Batch 491, Batch Loss 0.373035

INFO:root:Batch 492, Batch Loss 0.017761

INFO:root:Batch 493, Batch Loss 0.072294

INFO:root:Batch 494, Batch Loss 0.833154

INFO:root:Batch 495, Batch Loss 0.591165

INFO:root:Batch 496, Batch Loss 0.613462

INFO:root:Batch 497, Batch Loss 0.048923

INFO:root:Batch 498, Batch Loss 0.591818

INFO:root:Batch 499, Batch Loss 1.578127

INFO:root:Batch 500, Batch Loss 0.018651

INFO:root:Batch 501, Batch Loss 0.833749

INFO:root:Batch 502, Batch Loss 0.477897

INFO:root:Batch 503, Batch Loss 0.531029

INFO:root:Batch 504, Batch Loss 0.145132

INFO:root:Batch 505, Batch Loss 0.411821

INFO:root:Batch 506, Batch Loss 0.208064

INFO:root:Batch 507, Batch Loss 0.448161

INFO:root:Batch 508, Batch Loss 0.381100

INFO:root:Batch 509, Batch Loss 0.865859

INFO:root:Batch 510, Batch Loss 0.538125

INFO:root:Batch 511, Batch Loss 0.344440

INFO:root:Batch 512, Batch Loss 0.302297

INFO:root:Batch 513, Batch Loss 1.017091

INFO:root:Batch 514, Batch Loss 0.772312

INFO:root:Batch 515, Batch Loss 0.703629

INFO:root:Batch 516, Batch Loss 1.031720

INFO:root:Batch 517, Batch Loss 0.427040

INFO:root:Batch 518, Batch Loss 0.320110

INFO:root:Batch 519, Batch Loss 0.377885

INFO:root:Batch 520, Batch Loss 0.216099

INFO:root:Batch 521, Batch Loss 0.162416

INFO:root:Batch 522, Batch Loss 0.178087

INFO:root:Batch 523, Batch Loss 0.076984

INFO:root:Batch 524, Batch Loss 0.874015

INFO:root:Batch 525, Batch Loss 0.143398

INFO:root:Batch 526, Batch Loss 1.411899

INFO:root:Batch 527, Batch Loss 0.881853

INFO:root:Batch 528, Batch Loss 0.000000

INFO:root:Batch 529, Batch Loss 2.400727

INFO:root:Batch 530, Batch Loss 0.150512

INFO:root:Batch 531, Batch Loss 0.405383

INFO:root:Batch 532, Batch Loss 1.401038

INFO:root:Batch 533, Batch Loss 1.880138

INFO:root:Batch 534, Batch Loss 0.666407

INFO:root:Batch 535, Batch Loss 1.420826

INFO:root:Batch 536, Batch Loss 0.755231

INFO:root:Batch 537, Batch Loss 0.222999

INFO:root:Batch 538, Batch Loss 0.994193

INFO:root:Batch 539, Batch Loss 0.339614

INFO:root:Batch 540, Batch Loss 0.811679

INFO:root:Batch 541, Batch Loss 0.332793

INFO:root:Batch 542, Batch Loss 1.649830

INFO:root:Batch 543, Batch Loss 0.000000

INFO:root:Batch 544, Batch Loss 0.976726

INFO:root:Batch 545, Batch Loss 1.780347

INFO:root:Batch 546, Batch Loss 0.252513

INFO:root:Batch 547, Batch Loss 0.952632

INFO:root:Batch 548, Batch Loss 0.000000

INFO:root:Batch 549, Batch Loss 0.488770

INFO:root:Batch 550, Batch Loss 0.842673

INFO:root:Batch 551, Batch Loss 0.298552

INFO:root:Batch 552, Batch Loss 3.524987

INFO:root:Batch 553, Batch Loss 4.612754

